Auburn South Preschool, VIC
Auburn South Primary School, VIC
Auburn West Public School, NSW
Audrey Brooks Memorial Preschool Centre, VIC
Augathella State School, QLD
Augusta Park Primary School, SA
Augusta Primary School, WA
Augusta Primary School Kindergarten Program, WA
Augusta State School, QLD
Aurora School, VIC
Aussie Kindies, NSW
Austin Cove Baptist College, WA
Austin Hospital School, VIC
Austinmer Public School, NSW
Austins Ferry Primary School, TAS
Austral Community Preschool, NSW
Australian Christian College, NSW
Australian Christian College, WA
Australian Christian College, QLD
Australian Christian College, QLD
Australian Christian College, NSW
Australian International Academy, NSW
Australian International Academy, VIC
Australian International Islamic College, QLD
Australian Islamic College, WA
Australian Islamic College, WA
Australian Islamic College, WA
Australian Islamic College of Sydney, NSW
Australia Street Infants School, NSW
Australia Street Infants School, NSW
Australind Primary School, WA
Australind Primary School Kindergarten Program, WA
Austral Public School, NSW
Autistic Childrens School, QLD
Avalon Beach House Preschool, NSW
Avalon Public School, NSW
Aveley Primary School, WA
Ave Maria Kindergarten, VIC
Avenel Preschool, VIC
Avenel Primary School, VIC
Avenues Education Centre, VIC
Avoca Beach Public School, NSW
Avoca Preschool, VIC
Avoca Primary School, VIC
Avoca Primary School, TAS
Avoca Public School, NSW
Avoca State School, QLD
Avondale Early Childhood Education Centre, NSW
Avondale Education Support Centre, WA
Avondale Heights Kindergarten, VIC
Avondale Primary School, VIC
Avondale Primary School, WA
Avondale School, NSW
Avondale State School, QLD
Avonsleigh Kindergarten, VIC
Avonsleigh Preschool, VIC
Awaba Public School, NSW
Axedale Preschool, VIC
Axedale Primary School, VIC
Ayr Community Kindergarten, QLD
Ayr East State School, QLD
Ayr State School, QLD
Babakin Primary School, WA
Babinda Community Kindergarten, QLD
Babinda State School, QLD
Baby Bears Early Learning Centre, QLD
Bacchus Marsh Child Care Centre and Kindergarten, VIC
Bacchus Marsh Grammar School, VIC
Bacchus Marsh Montessori Preschool, VIC
Bacchus Marsh Preschool, VIC
Bacchus Marsh Preschools Association, VIC
Bacchus Marsh Primary School, VIC
Back Creek Kindergarten, VIC
